@relation 	/home/yyang/Data/horse-colic
@attribute	surgury	{1,2}
@attribute	age	real
@attribute	rectal-temp	real
@attribute	pulse	real
@attribute	resp-rate	real
@attribute	extremity-temp	{1,2,3,4}
@attribute	peripheral-pulse	{1,2,3,4}
@attribute	mucous-memb	{1,2,3,4,5,6}
@attribute	capillary-refill-time	{1,2,3}
@attribute	pain	{1,2,3,4,5}
@attribute	peristalsis	{1,2,3,4}
@attribute	abdominal-distension	{1,2,3,4}
@attribute	nasogastric-tube	{1,2,3}
@attribute	nasogastric-reflux	{1,2,3}
@attribute	nasogastric-reflux-PH	real
@attribute	feces	{1,2,3,4}
@attribute	abdomen	{1,2,3,4,5}
@attribute	packed-cell-volume	real
@attribute	total-protein	real
@attribute	abdominocentesis-appearance	{1,2,3}
@attribute	abdomcentesis-total-protein	real
@attribute	class { 1, 2 }

@data
%
% Instances from /home/yyang/Data/horse-colic.
%
2,1,530101,66,28,3,3,?,2,5,4,4,?,?,?,3,5,45.00,8.40,?,?,2

1,1,534817,88,20,?,?,4,1,3,4,2,?,?,?,4,2,50,85,2,2,2

2,1,530334,40,24,1,1,3,1,3,3,1,?,?,?,1,1,33.00,6.70,?,?,2

1,9,5290409,164,84,4,1,6,2,2,4,4,1,2,5.00,3,?,48.00,7.20,3,5.30,1

2,1,530255,104,35,?,?,6,2,?,?,?,?,?,?,?,?,74.00,7.40,?,?,2

2,1,528355,?,?,2,1,3,1,2,3,2,2,1,?,3,3,?,?,?,?,2

1,1,526802,48,16,1,1,1,1,3,3,3,1,1,?,3,5,37.00,7.00,?,?,1

1,1,529607,60,?,3,?,?,1,?,4,2,2,1,?,3,4,44.00,8.30,?,?,1

2,1,530051,80,36,3,4,3,1,4,4,4,2,1,?,3,5,38.00,6.20,?,?,1

2,9,5299629,90,?,1,?,1,1,5,3,1,2,1,?,3,?,40.00,6.20,1,2.20,2

1,1,528548,66,12,3,3,5,1,3,3,1,2,1,3.00,2,5,44.00,6.00,2,3.60,1

2,1,527927,72,52,2,?,2,1,2,1,2,1,1,?,4,4,50.00,7.80,?,?,1

1,1,528031,42,12,2,1,1,1,3,3,3,3,1,?,4,5,?,7.00,?,?,2

2,9,5291329,92,28,1,1,2,1,1,3,2,3,?,7.20,1,1,37.00,6.10,1,?,2

1,1,534917,76,28,3,1,1,1,3,4,1,2,2,?,4,4,46,81,1,2,1

1,1,530233,96,48,3,1,4,1,5,3,3,2,3,4.50,4,?,45.00,6.80,?,?,1

1,9,5301219,128,36,3,3,4,2,4,4,3,3,?,?,4,5,53.00,7.80,3,4.70,2

2,1,526639,48,24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2

1,1,5290481,64,21,1,1,2,1,2,3,1,1,1,?,2,5,40.00,7.00,1,?,1

2,1,532110,110,35,4,3,6,?,?,3,3,?,?,?,?,?,55,8.7,?,?,2

1,1,530157,72,60,1,1,5,2,5,4,4,3,1,?,4,4,46.00,6.10,2,?,1

2,1,529340,48,16,1,?,1,1,1,3,1,2,3,5.50,4,3,49.00,6.80,?,?,2

1,1,521681,42,34,2,1,4,?,2,3,1,?,?,?,1,?,48.00,7.20,?,?,1

1,9,534998,130,60,?,3,?,1,2,4,?,?,?,?,?,?,50,70,?,?,1

1,1,533692,60,12,3,3,3,1,?,4,3,3,2,2,?,?,51,65,?,?,1

2,1,529518,60,42,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,2

1,1,530526,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1

1,1,528653,48,12,3,1,1,1,?,3,2,1,1,?,1,3,37.00,5.50,2,1.30,2

1,1,5279442,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2

2,1,535415,48,?,2,1,1,1,1,1,1,1,1,?,?,?,45,76,?,?,2

2,1,529475,96,30,3,3,4,2,5,4,4,3,2,4.00,4,5,66.00,7.50,?,?,1

2,1,530242,108,12,3,3,4,2,2,4,2,?,3,6.00,3,3,52.00,8.20,3,7.40,1

1,1,529427,60,?,2,1,1,1,3,3,3,2,1,?,4,5,43.00,6.60,?,?,1

1,1,529663,64,28,1,1,1,1,3,1,?,?,?,?,4,4,49.00,8.60,2,6.60,1

1,1,529796,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52.00,6.60,?,?,1

2,1,528812,104,24,4,3,3,2,4,4,3,?,3,?,?,2,73.00,8.40,?,?,1

2,1,529493,112,16,?,3,5,2,?,?,1,1,2,?,?,5,51.00,6.00,2,1.00,2

1,1,533847,72,?,?,3,?,1,5,3,1,?,1,?,1,1,56,80,1,2,1

2,1,528996,52,?,1,1,1,1,3,3,2,1,1,?,1,3,32.00,6.60,1,5.00,2

1,9,5277409,146,96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1

1,1,529498,88,?,3,3,6,2,5,3,3,1,3,?,4,5,63.00,6.50,3,?,1

2,9,5288249,150,72,?,?,?,?,?,?,?,?,?,?,?,?,47.00,8.50,?,0.10,1

2,1,530301,60,12,3,1,3,1,3,3,1,1,1,?,2,2,47.00,7.00,?,?,2

1,1,534069,120,?,3,4,4,1,4,4,4,1,1,?,?,5,52,67,2,2,1

1,1,535407,140,24,3,3,4,2,4,4,?,2,1,?,?,5,57,69,3,2,1

2,1,529827,120,?,4,3,4,2,5,4,4,1,1,?,4,5,60.00,6.50,3,?,1

1,1,529888,60,15,3,?,4,2,5,4,4,2,2,?,4,5,65.00,7.50,?,?,1

2,1,529821,48,16,1,1,1,1,1,1,1,1,1,?,1,?,37.00,6.50,?,?,2

1,1,528890,80,44,3,3,3,2,2,3,3,2,2,7.00,3,1,54.00,6.50,3,?,1

2,1,529642,84,48,3,3,5,2,4,1,2,1,2,?,2,1,73.00,5.50,2,4.10,2

2,1,529766,46,?,1,1,2,1,1,3,2,1,1,?,?,2,49.00,9.10,1,1.60,2

1,1,527706,84,36,1,?,3,2,3,3,2,?,?,?,4,5,?,?,3,?,1

2,1,529483,?,?,1,1,3,1,1,3,1,?,?,?,2,2,43.00,7.70,?,?,2

2,1,530544,40,20,?,?,?,1,?,?,?,?,?,?,?,?,41.00,6.40,?,?,2

2,1,529461,114,36,3,3,1,2,2,3,3,2,1,7.00,1,5,57.00,8.10,3,4.50,1

1,9,5282839,160,20,3,?,5,1,3,3,4,3,?,?,4,?,38.00,?,2,?,1

