@relation 	/home/yyang/Data/mfeat-mor
@attribute	Attribute-0	{1,0,2}
@attribute	Attribute-1	{0,2,3,4,1,6,5}
@attribute	Attribute-2	{0,1,4,2,5,3}
@attribute	Attribute-3	real
@attribute	Attribute-4	real
@attribute	Attribute-5	real
@attribute	class { 0, 1, 2, 3, 4, 5, 6, 7, 8, 9  }

@data
%
% Instances from /home/yyang/Data/mfeat-mor.
%
1,0,0,133.150864,1.311693,1620.221802,0

1,0,0,126.724861,1.302745,1609.334839,0

1,0,0,131.173859,1.319031,1568.978394,0

1,0,0,129.478867,1.270878,1695.055298,0

1,0,0,127.262863,1.329637,1647.720215,0

1,0,0,131.058868,1.310403,2027.211426,0

1,0,0,138.442856,1.379906,1918.750488,0

1,0,0,129.346863,1.305646,1547.263672,0

1,0,0,139.542862,1.374661,1871.055908,0

1,0,0,132.628860,1.374434,1884.680420,0

1,0,0,128.684860,1.319394,1624.011597,0

1,0,0,129.346863,1.210899,1635.044067,0

1,0,0,141.072861,1.336216,2180.629150,0

1,0,0,130.810867,1.248912,1627.671387,0

1,0,0,131.868866,1.299064,1677.247437,0

1,0,0,128.618866,1.225879,1517.039185,0

1,0,0,127.129860,1.270321,1739.283081,0

1,0,0,135.846863,1.366889,1640.186523,0

1,0,0,127.758858,1.362188,1549.720947,0

1,0,0,134.324860,1.301996,1785.058228,0

1,0,0,127.923859,1.327469,1560.581787,0

1,0,0,128.800858,1.242598,1519.847046,0

1,0,0,132.422867,1.236974,1655.204956,0

1,0,0,129.288864,1.255408,1590.042114,0

1,0,0,136.110855,1.272122,1819.020142,0

1,0,0,131.322861,1.262507,1662.386963,0

1,0,0,134.258865,1.277449,1655.186890,0

1,0,0,134.506866,1.362977,1745.600098,0

1,0,0,131.702866,1.337155,1855.104980,0

1,0,0,134.820862,1.249143,1623.206909,0

1,0,0,130.322861,1.258018,1679.911987,0

1,0,0,128.469864,1.304331,1668.804932,0

1,0,0,129.817856,1.296367,1791.835571,0

1,0,0,123.268860,1.175559,1647.619141,0

1,0,0,123.342865,1.343222,1700.900024,0

1,0,0,133.034866,1.250948,1718.367310,0

1,0,0,129.164856,1.234612,1630.916992,0

1,0,0,133.232864,1.369648,1747.263916,0

1,0,0,130.156860,1.287706,1668.600952,0

1,0,0,123.887863,1.288205,1664.239380,0

1,0,0,130.694855,1.343557,1685.056274,0

1,0,0,122.448860,1.212940,1618.526978,0

1,0,0,127.948860,1.317956,1595.632080,0

1,0,0,132.976868,1.302848,1628.679810,0

1,0,0,128.916855,1.219017,1648.696045,0

1,0,0,136.226868,1.329887,1877.636475,0

1,0,0,134.820862,1.276998,1897.196655,0

1,0,0,134.249863,1.285432,1949.581299,0

1,0,0,125.136864,1.298548,1622.168457,0

1,0,0,130.578857,1.268686,1596.788086,0

1,0,0,124.384865,1.364778,1788.180420,0

1,0,0,134.804855,1.292235,1619.932983,0

1,0,0,124.136864,1.263616,1560.034180,0

1,0,0,128.122864,1.238959,1508.249268,0

1,0,0,127.766861,1.232623,1604.780151,0

1,0,0,131.198868,1.287760,1697.677490,0

1,0,0,128.858856,1.270186,1632.641602,0

1,0,0,133.282867,1.291134,1777.046509,0

1,0,0,133.306854,1.307660,1829.529785,0

1,0,0,126.774864,1.342144,1730.012695,0

1,0,0,127.948860,1.324150,1652.673218,0

1,0,0,129.552856,1.320467,1764.701050,0

1,0,0,127.650864,1.269962,1653.768555,0

1,0,0,132.794861,1.300281,1549.259033,0

1,0,0,130.156860,1.428109,1849.047485,0

1,0,0,136.822861,1.269062,1799.855225,0

1,0,0,133.018860,1.294698,1813.312500,0

1,0,0,135.300858,1.306836,1690.068359,0

1,0,0,125.310860,1.283107,1573.404663,0

1,0,0,135.862854,1.340864,1733.270996,0

1,0,0,130.958862,1.348961,1755.422119,0

1,0,0,130.140854,1.293127,1601.576416,0

1,0,0,124.996864,1.218070,1692.167969,0

1,0,0,128.924866,1.201011,1605.448608,0

1,0,0,134.018860,1.345078,1871.813110,0

1,0,0,129.676865,1.273593,1830.097046,0

1,0,0,128.667862,1.272193,1640.830444,0

1,0,0,126.998863,1.266630,1542.462646,0

1,0,0,132.678864,1.326601,1617.683228,0

1,0,0,123.945862,1.239283,1634.678467,0

1,0,0,130.230865,1.317101,1669.673828,0

1,0,0,128.973862,1.311147,1752.911255,0

1,0,0,124.425865,1.276571,1701.558594,0

1,0,0,132.215866,1.263049,1757.956177,0

1,0,0,131.802856,1.308830,1766.959717,0

1,0,0,127.460861,1.292413,1608.963867,0

1,0,0,130.578857,1.217083,1620.643433,0

1,0,0,126.278862,1.210505,1514.355225,0

1,0,0,125.600861,1.164346,1497.753296,0

1,0,0,130.660858,1.359555,1859.826904,0

1,0,0,134.936859,1.264624,1611.208618,0

1,0,0,130.636856,1.216297,1601.070923,0

1,0,0,126.956863,1.275816,1608.740601,0

1,0,0,136.648865,1.273660,1712.383179,0

1,0,0,136.392868,1.386569,1885.099609,0

1,0,0,133.298859,1.354236,1880.481201,0

1,0,0,125.186859,1.196588,1607.212280,0

1,0,0,128.419861,1.334423,1634.099609,0

1,0,0,125.070862,1.273953,1558.653076,0

1,0,0,131.372864,1.358671,1638.356567,0

1,0,0,134.010864,1.270042,1758.968750,0

1,0,0,134.235855,1.360231,2267.902588,0

1,0,0,131.554855,1.294393,1768.849365,0

1,0,0,134.746857,1.322585,1753.236206,0

1,0,0,133.464859,1.296726,1568.881592,0

1,0,0,134.390854,1.279433,1651.891724,0

1,0,0,123.236862,1.365678,2097.188477,0

1,0,0,121.986862,1.303442,2022.701782,0

1,0,0,127.072861,1.182470,1636.628662,0

1,0,0,126.882858,1.227690,1707.518311,0

1,0,0,131.934860,1.251781,1555.877686,0

1,0,0,136.598862,1.327175,1711.670654,0

1,0,0,129.164856,1.263976,1537.423828,0

1,0,0,131.794861,1.223750,1713.431763,0

1,0,0,132.406860,1.290279,1694.659424,0

1,0,0,129.329865,1.306311,1847.247314,0

1,0,0,125.442863,1.298215,1591.472534,0

1,0,0,130.280869,1.298552,1705.019409,0

1,0,0,129.098862,1.276454,1664.239380,0

1,0,0,128.304855,1.245116,1543.955566,0

1,0,0,131.487854,1.367231,1914.107056,0

1,0,0,134.490860,1.295977,1728.132568,0

1,0,0,132.596863,1.316714,1694.231079,0

1,0,0,135.060867,1.252043,1652.290649,0

1,0,0,132.612854,1.274169,1740.207886,0

1,0,0,132.596863,1.374103,1632.047241,0

1,0,0,134.820862,1.367925,1872.544556,0

1,0,0,128.742859,1.292125,1698.454346,0

1,0,0,127.816864,1.461082,1782.537354,0

1,0,0,136.912857,1.412175,2092.472656,0

1,0,0,121.572861,1.248125,1530.151123,0

1,0,0,139.666855,1.463253,2154.437500,0

1,0,0,131.256866,1.261140,1719.125610,0

1,0,0,127.956863,1.289142,1586.722412,0

1,0,0,122.300865,1.258939,1669.417725,0

0,2,0,231.276855,2.387080,15215.964844,0

1,0,0,131.536865,1.355819,1831.152222,0

1,0,0,124.020859,1.221007,1454.976318,0

1,0,0,129.403854,1.310423,1731.031616,0

1,0,0,132.538864,1.274197,1658.776978,0

1,0,0,135.432861,1.266480,1795.471436,0

1,0,0,130.519867,1.368366,1861.505737,0

