@relation 	/home/yyang/Data/sign
@attribute	Attribute-0	real
@attribute	Attribute-1	real
@attribute	Attribute-2	real
@attribute	Attribute-3	real
@attribute	Attribute-4	real
@attribute	Attribute-5	real
@attribute	Attribute-6	real
@attribute	Attribute-7	real
@attribute	class { alive, all, answer  }

@data
%
% Instances from /home/yyang/Data/sign.
%
0.000000,0.000000,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.015625,0.007812,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.031250,0.000000,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.031250,0.000000,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.023438,0.000000,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.023438,0.000000,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.023438,0.000000,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.007812,-0.007812,0.000000,0.000000,0.25,0.75,0.50,0.75,alive

0.023438,0.000000,0.000000,0.000000,0.25,0.50,0.50,0.50,alive

0.031250,0.000000,0.007812,0.000000,0.25,0.50,0.50,0.50,alive

0.015625,-0.007812,0.007812,0.000000,0.25,0.50,0.50,0.50,alive

0.031250,0.000000,0.000000,0.000000,0.25,0.50,0.50,0.50,alive

0.031250,0.000000,0.000000,0.083333,0.25,0.50,0.50,0.50,alive

0.031250,0.000000,0.000000,0.000000,0.25,0.50,0.50,0.75,alive

0.031250,0.000000,0.000000,0.083333,0.25,0.25,0.75,0.75,alive

0.031250,0.000000,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

0.015625,0.000000,0.000000,0.000000,0.25,0.00,0.75,0.00,alive

0.007812,0.007812,0.000000,0.083333,0.25,0.00,0.00,0.00,alive

0.015625,0.007812,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

0.000000,0.039062,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

0.000000,0.085938,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

-0.007812,0.101562,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

-0.039062,0.117188,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

-0.062500,0.132812,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

-0.117188,0.171875,0.000000,0.083333,0.25,0.00,0.00,0.00,alive

-0.132812,0.218750,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

-0.156250,0.265625,0.000000,0.000000,0.25,0.00,0.00,0.00,alive

-0.210938,0.289062,0.007812,0.083333,0.25,0.00,0.00,0.00,alive

-0.265625,0.304688,0.015625,0.083333,0.25,0.00,0.00,0.00,alive

-0.328125,0.312500,0.023438,0.083333,0.25,0.00,0.00,0.00,alive

-0.367188,0.320312,0.039062,0.166667,0.25,0.00,0.00,0.00,alive

-0.406250,0.281250,0.054688,0.083333,0.25,0.00,0.00,0.00,alive

-0.468750,0.281250,0.062500,0.166667,0.25,0.00,0.00,0.00,alive

-0.484375,0.273438,0.070312,0.250000,0.25,0.00,0.00,0.00,alive

-0.500000,0.273438,0.078125,0.250000,0.25,0.00,0.00,0.00,alive

-0.492188,0.367188,0.085938,0.166667,0.25,0.00,0.00,0.00,alive

-0.484375,0.343750,0.085938,0.250000,0.25,0.00,0.00,0.00,alive

-0.460938,0.335938,0.085938,0.250000,0.25,0.00,0.00,0.00,alive

-0.515625,0.289062,0.093750,0.250000,0.25,0.00,0.00,0.00,alive

-0.500000,0.304688,0.093750,0.250000,0.25,0.00,0.00,0.00,alive

-0.492188,0.320312,0.101562,0.250000,0.25,0.00,0.00,0.00,alive

-0.500000,0.304688,0.109375,0.250000,0.25,0.00,0.00,0.00,alive

-0.523438,0.210938,0.125000,0.916667,0.25,0.00,0.00,0.00,alive

-0.679688,0.140625,0.125000,0.916667,0.25,0.00,0.00,0.00,alive

-0.625000,0.273438,0.132812,0.166667,0.25,0.00,0.00,0.00,alive

-0.617188,0.273438,0.125000,0.916667,0.25,0.00,0.00,0.00,alive

-0.593750,0.335938,0.117188,0.083333,0.25,0.00,0.00,0.00,alive

-0.562500,0.359375,0.109375,0.250000,0.25,0.00,0.00,0.00,alive

-0.515625,0.445312,0.093750,0.250000,0.25,0.00,0.00,0.00,alive

-0.492188,0.484375,0.085938,0.250000,0.25,0.00,0.00,0.00,alive

-0.484375,0.445312,0.078125,0.250000,0.25,0.00,0.00,0.00,alive

-0.453125,0.429688,0.070312,0.250000,0.25,0.00,0.00,0.00,alive

-0.437500,0.390625,0.070312,0.250000,0.25,0.00,0.00,0.00,alive

-0.437500,0.312500,0.078125,0.250000,0.25,0.00,0.00,0.00,alive

-0.500000,0.203125,0.085938,0.250000,0.25,0.00,0.00,0.00,alive

-0.539062,0.218750,0.101562,0.166667,0.25,0.00,0.00,0.00,alive

-0.484375,0.359375,0.109375,0.166667,0.25,0.00,0.00,0.00,alive

-0.484375,0.359375,0.117188,0.166667,0.25,0.00,0.00,0.00,alive

-0.484375,0.359375,0.125000,0.166667,0.25,0.00,0.00,0.00,alive

-0.484375,0.359375,0.125000,0.166667,0.25,0.00,0.00,0.00,alive

-0.570312,0.312500,0.125000,0.166667,0.25,0.00,0.00,0.00,alive

-0.507812,0.414062,0.125000,0.166667,0.25,0.00,0.00,0.00,alive

-0.500000,0.492188,0.117188,0.166667,0.25,0.00,0.00,0.00,alive

-0.421875,0.539062,0.109375,0.166667,0.25,0.00,0.00,0.00,alive

-0.500000,0.476562,0.101562,0.250000,0.25,0.00,0.00,0.00,alive

-0.492188,0.507812,0.085938,0.250000,0.25,0.00,0.00,0.00,alive

-0.453125,0.507812,0.070312,0.250000,0.25,0.00,0.00,0.00,alive

-0.421875,0.500000,0.062500,0.250000,0.25,0.00,0.00,0.00,alive

-0.414062,0.468750,0.046875,0.250000,0.25,0.00,0.00,0.00,alive

-0.367188,0.484375,0.039062,0.250000,0.25,0.00,0.00,0.00,alive

-0.328125,0.468750,0.031250,0.250000,0.25,0.00,0.00,0.00,alive

-0.304688,0.445312,0.023438,0.250000,0.25,0.00,0.00,0.00,alive

-0.296875,0.437500,0.015625,0.250000,0.25,0.25,0.00,0.00,alive

-0.257812,0.406250,0.007812,0.166667,0.25,0.50,0.00,0.25,alive

-0.218750,0.398438,0.007812,0.166667,0.25,0.50,0.00,0.50,alive

-0.171875,0.398438,0.000000,0.166667,0.25,0.75,0.00,0.75,alive

-0.179688,0.390625,0.000000,0.250000,0.25,0.75,0.25,0.75,alive

-0.164062,0.390625,0.000000,0.166667,0.25,0.75,0.50,0.75,alive

-0.140625,0.351562,0.000000,0.166667,0.25,0.75,0.50,0.75,alive

-0.140625,0.382812,0.000000,0.166667,0.25,0.75,0.75,0.75,alive

-0.140625,0.382812,0.000000,0.166667,0.25,0.75,0.75,0.75,alive

-0.132812,0.390625,0.000000,0.166667,0.25,0.75,0.75,0.75,alive

-0.132812,0.390625,0.000000,0.166667,0.25,0.75,0.75,0.75,alive

-0.125000,0.398438,0.000000,0.166667,0.25,0.75,0.75,0.75,alive

-0.117188,0.398438,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

-0.085938,0.382812,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

-0.093750,0.351562,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

-0.046875,0.328125,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

-0.023438,0.289062,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

-0.007812,0.265625,0.000000,0.083333,0.25,0.75,0.75,0.75,alive

0.054688,0.218750,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

0.093750,0.164062,0.000000,0.000000,0.25,0.75,0.75,0.75,alive

0.093750,0.148438,0.007812,0.083333,0.25,0.75,0.75,0.75,alive

0.093750,0.093750,0.007812,0.000000,0.25,0.75,0.75,0.75,alive

0.125000,0.070312,0.015625,0.083333,0.25,0.75,0.75,0.75,alive

0.117188,0.085938,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.132812,0.039062,0.023438,0.000000,0.25,0.75,0.75,0.75,alive

0.140625,0.015625,0.023438,0.000000,0.25,0.75,0.75,0.75,alive

0.140625,0.023438,0.023438,0.000000,0.25,0.75,0.75,0.75,alive

0.140625,0.007812,0.031250,0.000000,0.25,0.75,0.75,0.75,alive

0.132812,0.000000,0.031250,0.000000,0.25,0.75,0.75,0.75,alive

0.148438,0.000000,0.031250,0.000000,0.25,0.75,0.75,0.75,alive

0.148438,0.000000,0.031250,0.000000,0.25,0.75,0.75,0.75,alive

0.125000,0.015625,0.023438,0.000000,0.25,0.75,0.75,0.75,alive

0.117188,0.031250,0.023438,0.083333,0.25,0.75,0.75,0.75,alive

0.109375,0.046875,0.023438,0.000000,0.25,0.75,0.75,0.75,alive

0.093750,0.046875,0.023438,0.000000,0.25,0.75,0.75,0.75,alive

0.093750,0.039062,0.023438,0.000000,0.25,0.75,0.75,0.75,alive

0.070312,0.039062,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.062500,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.062500,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.054688,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.054688,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.070312,0.039062,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.054688,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.046875,0.023438,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.039062,0.015625,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

0.039062,0.015625,0.015625,0.000000,0.25,0.75,0.75,0.75,alive

