@relation 	/home/yyang/Data/syncon
@attribute	Attribute-0	real
@attribute	Attribute-1	real
@attribute	Attribute-2	real
@attribute	Attribute-3	real
@attribute	Attribute-4	real
@attribute	Attribute-5	real
@attribute	Attribute-6	real
@attribute	Attribute-7	real
@attribute	Attribute-8	real
@attribute	Attribute-9	real
@attribute	Attribute-10	real
@attribute	Attribute-11	real
@attribute	Attribute-12	real
@attribute	Attribute-13	real
@attribute	Attribute-14	real
@attribute	Attribute-15	real
@attribute	Attribute-16	real
@attribute	Attribute-17	real
@attribute	Attribute-18	real
@attribute	Attribute-19	real
@attribute	Attribute-20	real
@attribute	Attribute-21	real
@attribute	Attribute-22	real
@attribute	Attribute-23	real
@attribute	Attribute-24	real
@attribute	Attribute-25	real
@attribute	Attribute-26	real
@attribute	Attribute-27	real
@attribute	Attribute-28	real
@attribute	Attribute-29	real
@attribute	Attribute-30	real
@attribute	Attribute-31	real
@attribute	Attribute-32	real
@attribute	Attribute-33	real
@attribute	Attribute-34	real
@attribute	Attribute-35	real
@attribute	Attribute-36	real
@attribute	Attribute-37	real
@attribute	Attribute-38	real
@attribute	Attribute-39	real
@attribute	Attribute-40	real
@attribute	Attribute-41	real
@attribute	Attribute-42	real
@attribute	Attribute-43	real
@attribute	Attribute-44	real
@attribute	Attribute-45	real
@attribute	Attribute-46	real
@attribute	Attribute-47	real
@attribute	Attribute-48	real
@attribute	Attribute-49	real
@attribute	Attribute-50	real
@attribute	Attribute-51	real
@attribute	Attribute-52	real
@attribute	Attribute-53	real
@attribute	Attribute-54	real
@attribute	Attribute-55	real
@attribute	Attribute-56	real
@attribute	Attribute-57	real
@attribute	Attribute-58	real
@attribute	Attribute-59	real
@attribute	class { normal, cyclic, increasing, decreasing, upward, downward  }

@data
%
% Instances from /home/yyang/Data/syncon.
%
28.7812,34.4632,31.3381,31.2834,28.9207,33.7596,25.3969,27.7849,35.2479,27.1159,32.8717,29.21710,36.0253,32.3370,34.5249,32.8717,34.1173,26.5235,27.6623,26.3693,25.7744,29.27000,30.73260,29.50540,33.02920,25.04000,28.91670,24.34370,26.12030,34.94240,25.02930,26.63110,35.65410,28.43530,29.14950,28.15840,26.19270,33.31820,30.97720,27.04430,35.53440,26.23530,28.99640,32.00360,31.05580,34.25530,28.07210,28.94020,35.497300,29.747000,31.433300,24.555600,33.7431000,25.0466000,34.9318000,34.987900,32.4721000,33.3759000,25.4652000,25.8717000,normal

24.8923,25.7410,27.5532,32.8217,27.8789,31.5926,31.4861,35.5469,27.9516,31.6595,27.5415,31.18870,27.4867,31.3910,27.8110,24.4880,27.5918,35.6273,35.4102,31.4167,30.7447,24.13110,35.14220,30.47190,31.98740,33.66150,25.55110,30.46860,33.64720,25.07010,34.07650,32.59810,28.30380,26.14710,26.94140,31.52030,33.10890,24.14910,28.51570,25.79060,35.95190,26.53010,24.85780,25.95620,32.83570,28.53220,26.34580,30.62130,28.986100,29.404700,32.557700,31.020500,26.6418000,28.4331000,33.6564000,26.424400,28.4661000,34.2484000,32.1005000,26.6910000,normal

31.3987,30.6316,26.3983,24.2905,27.8613,28.5491,24.9717,32.4358,25.2239,27.3068,31.8387,27.25870,28.2572,26.5819,24.0455,35.0625,31.5717,32.5614,31.0308,34.1202,26.9337,31.47810,35.01730,32.38510,24.33230,30.20010,31.24520,26.68140,31.51370,28.87780,27.30860,24.24600,26.96310,25.29190,31.61140,24.71310,27.48090,24.20750,26.80590,35.12530,32.62930,31.05610,26.35830,28.08610,31.43910,27.30570,29.60820,35.97250,34.144400,27.171700,33.631800,26.596600,25.5387000,32.5434000,25.5772000,29.989700,31.3510000,33.9002000,29.5446000,29.3430000,normal

25.7740,30.5262,35.4209,25.6033,27.9700,25.2702,28.1320,29.4268,31.4549,27.3200,28.9564,28.99160,29.9578,30.2773,30.4447,24.3037,24.3140,35.0966,25.3679,32.0968,33.3303,25.01020,35.31550,31.62640,29.28060,34.20210,26.50770,32.22790,25.52650,24.82400,27.55870,28.37140,32.36670,26.97520,35.93460,35.11460,24.37490,27.60830,27.84330,29.85570,32.41850,26.89080,31.32090,29.38490,34.33360,24.73810,35.76900,31.87250,34.205400,31.156000,34.629200,28.726100,28.2979000,31.5787000,34.6156000,32.549200,30.9827000,24.8938000,27.3659000,25.3069000,normal
