@relation 	/home/yyang/Data/volcanoes
@attribute	Attribute-1	real
@attribute	Attribute-2	real
@attribute	Attribute-3	real
@attribute	class { 1, 2, 3, 4  }

@data
%
% Instances from /home/yyang/Data/volcanoes.
%
293.000000,794.000000,21.930000,1

232.000000,654.000000,32.980000,1

331.000000,696.000000,23.540001,1

349.000000,776.000000,16.969999,1

353.000000,764.000000,12.040000,2

36.000000,808.000000,24.330000,1

376.000000,889.000000,14.040000,1

444.000000,952.000000,22.360001,1

365.000000,972.000000,14.870000,1

361.000000,959.000000,14.870000,2

369.000000,911.000000,21.469999,1

226.000000,807.000000,18.360001,3

81.000000,620.000000,5.830000,4

116.000000,655.000000,5.830000,4

168.000000,615.000000,20.120001,3

345.000000,728.000000,20.120001,2

124.000000,810.000000,10.770000,4

462.000000,796.000000,6.000000,4

307.000000,918.000000,18.379999,3

14.000000,860.000000,26.020000,3

481.000000,709.000000,27.290001,2

546.000000,973.000000,26.309999,2

539.000000,815.000000,19.920000,2

946.000000,840.000000,16.760000,2

967.000000,856.000000,16.760000,3

803.000000,572.000000,23.430000,2

677.000000,630.000000,17.120001,3

966.000000,130.000000,12.650000,4

402.000000,800.000000,20.120001,3

421.000000,800.000000,20.120001,3

356.000000,679.000000,20.120001,3

255.000000,714.000000,17.490000,3

480.000000,869.000000,13.930000,3

497.000000,894.000000,18.030001,3

427.000000,212.000000,25.810000,2

169.000000,395.000000,24.210000,2

589.000000,735.000000,26.570000,2

885.000000,967.000000,26.570000,2

813.000000,592.000000,23.600000,3

957.000000,410.000000,28.180000,3

731.000000,302.000000,28.180000,3

501.000000,560.000000,28.180000,3

545.000000,456.000000,3.000000,4

414.000000,803.000000,3.000000,4

693.000000,884.000000,3.000000,4

198.000000,510.000000,30.000000,3

424.000000,392.000000,20.590000,3

178.000000,240.000000,24.080000,3

650.000000,692.000000,25.500000,1

835.000000,954.000000,6.080000,4

633.000000,964.000000,35.900000,3

189.000000,181.000000,5.000000,4

667.000000,617.000000,6.400000,4

543.000000,840.000000,14.560000,3

243.000000,299.000000,5.830000,4

548.000000,720.000000,5.830000,4

296.000000,653.000000,15.650000,2

110.000000,448.000000,11.180000,4

110.000000,420.000000,14.140000,4

846.000000,703.000000,9.490000,4

858.000000,703.000000,4.470000,4

107.000000,24.000000,3.610000,4

751.000000,554.000000,32.760000,3

749.000000,610.000000,23.320000,2

843.000000,1000.000000,27.590000,2

759.000000,836.000000,27.020000,3

651.000000,779.000000,38.290000,3

870.000000,834.000000,28.230000,3

814.000000,891.000000,28.230000,3

439.000000,486.000000,50.090000,1

141.000000,1012.000000,21.840000,2

273.000000,257.000000,34.060000,1

307.000000,480.000000,8.940000,4

607.000000,40.000000,30.410000,2

387.000000,237.000000,30.410000,3

443.000000,225.000000,18.030000,3

278.000000,517.000000,7.210000,4

652.000000,73.000000,25.320000,3

951.000000,430.000000,14.210000,1

940.000000,52.000000,5.390000,4

842.000000,134.000000,11.000000,2

1022.000000,228.000000,56.140000,3

316.000000,911.000000,19.240000,2

106.000000,5.000000,6.710000,4

134.000000,193.000000,34.010000,2

24.000000,189.000000,7.000000,4

46.000000,188.000000,6.320000,4

32.000000,157.000000,4.120000,4

6.000000,192.000000,4.470000,4

161.000000,513.000000,26.570000,3

831.000000,780.000000,5.830000,4

100.000000,686.000000,5.830000,4

677.000000,997.000000,5.830000,4

691.000000,963.000000,5.830000,4

418.000000,957.000000,5.830000,4

468.000000,964.000000,5.830000,4

962.000000,597.000000,42.720000,2

63.000000,813.000000,9.490000,4

918.000000,893.000000,5.390000,4

553.000000,132.000000,16.640000,3

119.000000,631.000000,15.000000,3

413.000000,176.000000,15.130000,3

527.000000,124.000000,6.320000,4

135.000000,226.000000,5.100000,4

880.000000,296.000000,20.020000,3

79.000000,339.000000,30.150000,2

446.000000,63.000000,18.030000,2

346.000000,140.000000,5.000000,4

412.000000,105.000000,7.070000,2

291.000000,212.000000,9.060000,2

507.000000,148.000000,39.050000,2

368.000000,87.000000,4.470000,4

466.000000,262.000000,11.050000,3

813.000000,136.000000,32.060000,1

769.000000,74.000000,13.420000,3

630.000000,139.000000,7.280000,4

435.000000,780.000000,5.000000,4

729.000000,959.000000,5.000000,4

426.000000,606.000000,5.000000,4

337.000000,205.000000,23.350000,3

910.000000,902.000000,33.240000,2

752.000000,897.000000,12.370000,2

455.000000,969.000000,12.370000,3

513.000000,899.000000,4.470000,4

397.000000,261.000000,4.470000,4

832.000000,602.000000,24.000000,2

847.000000,821.000000,9.220000,2

653.000000,972.000000,17.260000,3

924.000000,645.000000,5.000000,4

870.000000,725.000000,34.530000,3

851.000000,674.000000,23.020000,3

600.000000,403.000000,6.400000,4

732.000000,436.000000,14.870000,2

688.000000,535.000000,5.390000,4

327.000000,676.000000,5.390000,4

528.000000,164.000000,5.390000,4

466.000000,446.000000,4.470000,4

99.000000,286.000000,13.600000,3

345.000000,647.000000,4.470000,4

967.000000,633.000000,19.850000,3

923.000000,708.000000,23.320000,1

744.000000,766.000000,7.070000,4

806.000000,608.000000,22.200000,2

835.000000,623.000000,22.200000,2

873.000000,629.000000,16.280000,3

276.000000,848.000000,6.320000,4

91.000000,1014.000000,5.000000,4

911.000000,912.000000,2.830000,4

919.000000,915.000000,2.830000,4

752.000000,717.000000,20.620000,3

47.000000,869.000000,25.460000,3

318.000000,582.000000,41.590000,3

10.000000,310.000000,15.260000,2

647.000000,944.000000,4.470000,4

746.000000,946.000000,4.470000,4

690.000000,977.000000,13.600000,2

619.000000,473.000000,14.560000,3

494.000000,49.000000,36.360000,2

961.000000,454.000000,12.040000,2

795.000000,462.000000,12.040000,3

212.000000,212.000000,12.040000,3

859.000000,848.000000,5.100000,4

400.000000,802.000000,11.180000,3

258.000000,27.000000,12.000000,2

204.000000,76.000000,5.390000,4

65.000000,25.000000,5.390000,4

71.000000,147.000000,11.050000,3

143.000000,206.000000,6.710000,4

545.000000,22.000000,4.240000,4

165.000000,875.000000,4.240000,4

711.000000,149.000000,13.450000,2

708.000000,77.000000,14.210000,2

877.000000,107.000000,6.400000,4

731.000000,272.000000,4.240000,4

411.000000,344.000000,4.240000,4

120.000000,47.000000,4.240000,4

377.000000,109.000000,4.240000,4

115.000000,840.000000,21.930000,3

957.000000,829.000000,4.240000,4

162.000000,909.000000,6.400000,4

391.000000,945.000000,21.020000,2

419.000000,967.000000,22.830000,2

958.000000,890.000000,5.830000,4

604.000000,606.000000,43.930000,3

152.000000,320.000000,43.930000,2

888.000000,792.000000,58.820000,3

759.000000,197.000000,5.000000,4

982.000000,375.000000,5.000000,4

887.000000,97.000000,5.000000,4

669.000000,27.000000,3.160000,4

681.000000,495.000000,22.670000,3

145.000000,185.000000,38.420000,2

190.000000,426.000000,29.210000,1

265.000000,472.000000,36.070000,1

141.000000,376.000000,20.620000,2

327.000000,461.000000,20.620000,2

229.000000,9.000000,9.000000,4

153.000000,51.000000,5.000000,4

224.000000,189.000000,21.260000,3

354.000000,214.000000,14.870000,3

371.000000,42.000000,4.470000,4

563.000000,526.000000,17.720000,1

660.000000,335.000000,5.390000,4

392.000000,604.000000,17.200000,2

358.000000,593.000000,25.300000,2

202.000000,503.000000,4.240000,4

248.000000,525.000000,4.240000,4

468.000000,758.000000,15.620000,4

345.000000,840.000000,27.310000,3

284.000000,633.000000,21.190000,3

231.000000,652.000000,14.870000,3

395.000000,718.000000,14.870000,3

233.000000,596.000000,6.320000,2

858.000000,749.000000,4.240000,4

783.000000,938.000000,4.240000,4

831.000000,539.000000,4.240000,4

642.000000,971.000000,23.850000,3

680.000000,776.000000,23.850000,3

723.000000,263.000000,7.620000,4

744.000000,789.000000,26.400000,3

542.000000,786.000000,2.830000,4

587.000000,798.000000,2.830000,4

535.000000,807.000000,2.830000,4

752.000000,918.000000,34.180000,1

602.000000,486.000000,31.300000,2

384.000000,908.000000,27.200000,3

258.000000,708.000000,27.200000,3

66.000000,820.000000,16.550000,2

994.000000,677.000000,16.550000,2

1010.000000,485.000000,16.550000,1

990.000000,202.000000,21.260000,3

828.000000,631.000000,6.000000,4

972.000000,536.000000,33.120000,3

350.000000,137.000000,19.720000,3

196.000000,51.000000,5.000000,4

691.000000,512.000000,16.280000,2

861.000000,520.000000,21.260000,3

684.000000,530.000000,18.030000,2

701.000000,561.000000,13.450000,2

707.000000,608.000000,2.830000,4

766.000000,678.000000,2.830000,4

723.000000,687.000000,2.830000,4

753.000000,695.000000,2.830000,4

768.000000,730.000000,2.830000,4

776.000000,760.000000,2.830000,4

774.000000,794.000000,2.830000,4

783.000000,820.000000,2.830000,4

791.000000,602.000000,2.830000,4

381.000000,875.000000,2.830000,4

330.000000,971.000000,2.830000,4

350.000000,958.000000,2.830000,4

334.000000,1007.000000,2.830000,4

399.000000,935.000000,2.830000,4

395.000000,981.000000,2.830000,4

398.000000,1020.000000,2.830000,4

374.000000,1003.000000,2.830000,4

434.000000,994.000000,2.830000,4

254.000000,1008.000000,2.830000,4

59.000000,926.000000,19.210000,3

102.000000,964.000000,2.830000,4

287.000000,847.000000,6.400000,4

752.000000,859.000000,2.830000,4

791.000000,909.000000,4.120000,4

844.000000,964.000000,4.120000,4

196.000000,430.000000,23.190001,1

46.000000,304.000000,20.620001,1

392.000000,437.000000,20.620001,2

356.000000,100.000000,8.000000,4

27.000000,384.000000,8.000000,4

22.000000,373.000000,4.470000,4

237.000000,266.000000,18.379999,3

268.000000,50.000000,18.379999,3

206.000000,70.000000,18.379999,3

146.000000,112.000000,18.379999,3

458.000000,356.000000,23.540001,3

275.000000,628.000000,32.389999,2

462.000000,954.000000,41.680000,2

267.000000,744.000000,21.590000,1

561.000000,646.000000,5.390000,4

